year,pce,ttwsh
1990,40-50th,.022
1991,40-50th,.022
1992,40-50th,.023
1993,40-50th,.023
1994,40-50th,.023
1995,40-50th,.024
1996,40-50th,.025
1997,40-50th,.025
1998,40-50th,.025
1999,40-50th,.026
2000,40-50th,.025
2001,40-50th,.027
2002,40-50th,.027
2003,40-50th,.027
2004,40-50th,.027
2005,40-50th,.028
2006,40-50th,.027
2007,40-50th,.027
2008,40-50th,.027
2009,40-50th,.028
2010,40-50th,.027
2011,40-50th,.027
2012,40-50th,.029
2013,40-50th,.029
2014,40-50th,.029
2015,40-50th,.028
2016,40-50th,.029
2017,40-50th,.029
2018,40-50th,.028
2019,40-50th,.028
2020,40-50th,.028
2021,40-50th,.028
2022,40-50th,.028
1990,50-60th,.044
1991,50-60th,.044
1992,50-60th,.045
1993,50-60th,.045
1994,50-60th,.045
1995,50-60th,.046
1996,50-60th,.047
1997,50-60th,.046
1998,50-60th,.045
1999,50-60th,.047
2000,50-60th,.046
2001,50-60th,.048
2002,50-60th,.047
2003,50-60th,.048
2004,50-60th,.049
2005,50-60th,.048
2006,50-60th,.048
2007,50-60th,.049
2008,50-60th,.048
2009,50-60th,.05
2010,50-60th,.049
2011,50-60th,.049
2012,50-60th,.051
2013,50-60th,.051
2014,50-60th,.05
2015,50-60th,.05
2016,50-60th,.051
2017,50-60th,.05
2018,50-60th,.05
2019,50-60th,.05
2020,50-60th,.051
2021,50-60th,.051
2022,50-60th,.051
1990,60-80th,.203
1991,60-80th,.201
1992,60-80th,.202
1993,60-80th,.201
1994,60-80th,.2
1995,60-80th,.201
1996,60-80th,.2
1997,60-80th,.195
1998,60-80th,.187
1999,60-80th,.192
2000,60-80th,.186
2001,60-80th,.188
2002,60-80th,.187
2003,60-80th,.192
2004,60-80th,.191
2005,60-80th,.189
2006,60-80th,.19
2007,60-80th,.192
2008,60-80th,.19
2009,60-80th,.2
2010,60-80th,.194
2011,60-80th,.193
2012,60-80th,.199
2013,60-80th,.199
2014,60-80th,.197
2015,60-80th,.193
2016,60-80th,.198
2017,60-80th,.197
2018,60-80th,.193
2019,60-80th,.193
2020,60-80th,.196
2021,60-80th,.194
2022,60-80th,.197
1990,80-90th,.198
1991,80-90th,.196
1992,80-90th,.195
1993,80-90th,.195
1994,80-90th,.197
1995,80-90th,.192
1996,80-90th,.193
1997,80-90th,.19
1998,80-90th,.184
1999,80-90th,.188
2000,80-90th,.185
2001,80-90th,.183
2002,80-90th,.18
2003,80-90th,.185
2004,80-90th,.183
2005,80-90th,.183
2006,80-90th,.181
2007,80-90th,.181
2008,80-90th,.175
2009,80-90th,.187
2010,80-90th,.184
2011,80-90th,.182
2012,80-90th,.186
2013,80-90th,.186
2014,80-90th,.185
2015,80-90th,.181
2016,80-90th,.184
2017,80-90th,.183
2018,80-90th,.18
2019,80-90th,.182
2020,80-90th,.185
2021,80-90th,.181
2022,80-90th,.178
1990,90-95th,.153
1991,90-95th,.154
1992,90-95th,.154
1993,90-95th,.156
1994,90-95th,.159
1995,90-95th,.152
1996,90-95th,.152
1997,90-95th,.151
1998,90-95th,.148
1999,90-95th,.15
2000,90-95th,.148
2001,90-95th,.146
2002,90-95th,.144
2003,90-95th,.147
2004,90-95th,.144
2005,90-95th,.144
2006,90-95th,.142
2007,90-95th,.141
2008,90-95th,.136
2009,90-95th,.145
2010,90-95th,.144
2011,90-95th,.143
2012,90-95th,.144
2013,90-95th,.144
2014,90-95th,.145
2015,90-95th,.143
2016,90-95th,.144
2017,90-95th,.144
2018,90-95th,.142
2019,90-95th,.145
2020,90-95th,.146
2021,90-95th,.142
2022,90-95th,.138
1990,95-99th,.207
1991,95-99th,.209
1992,95-99th,.209
1993,95-99th,.213
1994,95-99th,.216
1995,95-99th,.206
1996,95-99th,.206
1997,95-99th,.208
1998,95-99th,.207
1999,95-99th,.204
2000,95-99th,.203
2001,95-99th,.201
2002,95-99th,.202
2003,95-99th,.201
2004,95-99th,.199
2005,95-99th,.198
2006,95-99th,.198
2007,95-99th,.194
2008,95-99th,.193
2009,95-99th,.197
2010,95-99th,.2
2011,95-99th,.199
2012,95-99th,.197
2013,95-99th,.196
2014,95-99th,.2
2015,95-99th,.2
2016,95-99th,.202
2017,95-99th,.202
2018,95-99th,.201
2019,95-99th,.202
2020,95-99th,.201
2021,95-99th,.203
2022,95-99th,.2
1990,Bottom 40%,.01
